"%1 automation trigger(s) saved.","%1 automaatika päästik(ut) salvestatud."
"%1 event(s) queued for retry.","%1 sündmus(t) pandi uuesti proovimiseks järjekorda."
"%1 events failed in the last 24 hours","Viimase 24 tunni jooksul ebaõnnestus %1 sündmust"
"%1 failed delivery(ies) in the last 24 hours.","%1 ebaõnnestunud saatmist viimase 24 tunni jooksul."
"%1 of %2","%1 / %2"
"%1 Your saved automations are unchanged.","%1 Sinu salvestatud automaatikad jäävad muutmata."
"Legitimate interest mode only: send force_opt_in on automation triggers, re-subscribing contacts who have unsubscribed in Smaily. Leave off to honour unsubscribes (GDPR Art. 21).","Ainult õigustatud huvi režiimis: saada automaatika käivitustel force_opt_in, mis määrab Smailys loobunud kontaktid uuesti tellijaks. Jäta välja lülitatuks, et loobumisi austada (GDPR art 21)."
"Let Smaily Send Opt-In Emails","Lase Smailyl saata tellimuse kinnituskirjad"
"Let Smaily send the opt-in confirmation emails (suppresses Magento's own)","Lase Smailyl saata tellimuse kinnituskirjad (Magento enda kirjad jäetakse ära)"
"Loading the delivery details failed — please try again.","Saatmise üksikasjade laadimine ebaõnnestus — proovi uuesti."
"Loading…","Laadimine…"
"Log","Logi"
"Log Verbosity","Logimise tase"
"Logging","Logimine"
"Logs are written to var/log/smaily_connect.log. Debug verbosity logs full API requests and responses; use only for troubleshooting.","Logid kirjutatakse faili var/log/smaily_connect.log. Silumistase logib täielikud API päringud ja vastused; kasuta ainult tõrkeotsinguks."
"Map store events to Smaily automations","Seo poe sündmused Smaily automaatikatega"
"minutes of inactivity before the cart counts as abandoned. Each cart is mailed once; carts older than 24 hours are never mailed.","minutit tegevusetust, enne kui ostukorv loetakse hüljatuks. Igale ostukorvile saadetakse kiri üks kord; üle 24 tunni vanustele ostukorvidele kirju ei saadeta."
"Most common","Levinuim"
"Most retry automatically with backoff; anything still failed can be retried manually from the grid.","Enamik proovitakse automaatselt tagasilangusega uuesti; endiselt ebaõnnestunuid saab tabelist käsitsi uuesti proovida."
"Multilingual Mode","Mitmekeelne režiim"
"Name Prefix","Nime eesliide"
"Name prefix","Nime eesliide"
"Need a category-filtered or sorted feed? Use the URL builder under Settings > RSS.","Vajad kategooria järgi filtreeritud või sorditud voogu? Kasuta URL-i koostajat menüüs Seaded > RSS."
"Need per-website or per-store-view overrides, or the advanced fields? They live in","Vajad veebisaidi- või poevaatepõhiseid erandeid või täpsemaid välju? Need asuvad siin:"
"Needs attention","Vajab tähelepanu"
"Next automatic retry: %1 (attempt %2 of %3).","Järgmine automaatne kordus: %1 (katse %2 / %3)."
"No cap","Limiiti pole"
"No deliveries yet. Once subscribers, orders or catalog changes start flowing, the latest queue rows show up here.","Saadetisi veel pole. Kui tellijad, tellimused või kataloogimuudatused liikuma hakkavad, ilmuvad värskeimad järjekorraread siia."
"No payload stored for this row.","Sellel real ei ole salvestatud andmesisu."
"No response recorded — this row has not been attempted yet.","Vastust ei ole salvestatud — seda rida ei ole veel saata proovitud."
"Nobody is synced automatically — only shoppers who tick the newsletter checkbox at checkout.","Kedagi ei sünkroonita automaatselt — ainult ostjad, kes märgivad kassas uudiskirja märkeruudu."
"None (use the default workflow above)","Puudub (kasuta ülalolevat vaikimisi töövoogu)"
"Not connected","Pole ühendatud"
"Nothing to save.","Pole midagi salvestada."
"Nothing was saved: %1","Midagi ei salvestatud: %1"
"Number of products (1-250)","Toodete arv (1-250)"
"Off","Väljas"
"Off by default. Respects Magento cookie restriction mode; events flow through your own server, so the API key never reaches the browser.","Vaikimisi väljas. Arvestab Magento küpsiste piirangurežiimiga; sündmused liiguvad läbi sinu enda serveri, nii et API võti ei jõua kunagi brauserisse."
"On","Sees"
"One account, per-language workflows","Üks konto, keelepõhised töövood"
"One workflow branching by language","Üks töövoog, mis hargneb keele järgi"
"Only customers who opted into the newsletter are synced. Unsubscribes in Smaily are mirrored back to Magento automatically (two-way sync).","Sünkroonitakse ainult uudiskirjaga liitunud kliendid. Smailys tehtud loobumised peegeldatakse automaatselt Magentosse tagasi (kahesuunaline sünkroonimine)."
"Only website or store-view overrides can be cleared.","Eemaldada saab ainult veebisaidi või vaate taseme alistusi."
"Open Marketing > Smaily Connect > Setup Wizard to connect your Smaily account in a few guided steps. Existing settings from an earlier version were migrated automatically. The full user guide is linked below under Read Details.","Ava Marketing > Smaily Connect > Seadistusviisard, et ühendada oma Smaily konto mõne juhendatud sammuga. Varasema versiooni seaded migreeriti automaatselt. Täieliku kasutusjuhendi leiad allpool lingi „Read Details“ alt."
"Open the full log","Ava täielik logi"
"Open the URL builder","Ava URL-i koostaja"
"Optional customer fields sent to Smaily along with the email address. Empty source values are omitted so existing Smaily values are kept.","Valikulised kliendiväljad, mis saadetakse Smailysse koos e-posti aadressiga. Tühjad väärtused jäetakse välja, nii et olemasolevad Smaily väärtused säilivad."
"Optional integration with the Smaily recommendation engine: catalog, customer, order and browse data power personalized recommendations and engine-run automations.","Valikuline lõiming Smaily soovitusmootoriga: kataloogi-, kliendi-, tellimuse- ja sirvimisandmed toidavad personaalseid soovitusi ja mootori automaatikaid."
"Overridden for %1","Alistatud: %1"
"Override cleared — the default now applies here.","Alistus eemaldatud — nüüd kehtib siin vaikeväärtus."
"Paste the one-time setup URL (or token) provided by Smaily and save the configuration to connect. The token is exchanged immediately and never stored.","Kleebi Smailylt saadud ühekordne seadistus-URL (või -võti) ja salvesta seadistus, et ühendada. Võti vahetatakse kohe ja seda ei salvestata."
"Paste the setup URL or token from Smaily first.","Kleebi esmalt Smailylt saadud seadistus-URL või -võti."
"Paste this URL into the RSS block of the Smaily template editor. Category IDs are shown in Catalog > Categories.","Kleebi see URL Smaily mallieditori RSS-plokki. Kategooriate ID-d leiad menüüst Catalog > Categories."
"Payload (as sent)","Andmesisu (nagu saadeti)"
"Payload (queued, not sent yet)","Andmesisu (järjekorras, veel saatmata)"
"Pending","Ootel"
"Per-language Smaily accounts","Keelepõhised Smaily kontod"
"Per-language workflows","Keelepõhised töövood"
"Personalization","Personaliseerimine"
"Personalized Recommendations","Personaalsed soovitused"
"Pick the default fallback account.","Vali vaikimisi varukonto."
"PII redacted","isikuandmed varjatud"
"Please fill in the subdomain, username and password.","Palun täida alamdomeen, kasutajanimi ja parool."
"Please sign in to see your saved cart.","Salvestatud ostukorvi nägemiseks logi palun sisse."
"Price","Hind"
"Product Base Price","Toote baashind"
"Product data included for up to 10 cart items (product_name_1..10 etc.).","Tooteandmed kuni 10 ostukorvi toote kohta (product_name_1..10 jne)."
"Product Description","Toote kirjeldus"
"Product Image URL","Toote pildi URL"
"Product Name","Toote nimi"
"Product name","Toote nimi"
"Product Price","Toote hind"
"Product Quantity","Toote kogus"
"Product RSS Feed","Toodete RSS-voog"
"Product RSS feed","Toodete RSS-voog"
"Product RSS feed for the Smaily template editor:","Toodete RSS-voog Smaily mallide redaktori jaoks:"
"Product SKU","Toote SKU"
"Queued today","Täna järjekorda pandud"
"Quick links","Kiirlingid"
"re-run the guided setup at any time; your settings are kept","käivita juhendatud seadistus igal ajal uuesti; sinu seaded säilivad"
"Recent activity","Viimane tegevus"
"recommended","soovitatav"
"Recommended","Soovitatud"
"redacted","varjatud"
"Refresh workflows","Värskenda töövooge"
"Resume setup","Jätka seadistamist"
"Retry","Proovi uuesti"
"Retry events","Proovi sündmusi uuesti"
"Retry the selected failed events?","Kas proovida valitud ebaõnnestunud sündmusi uuesti?"
"Review failures","Vaata ebaõnnestumised üle"
"Review the log under Marketing > Smaily Connect > Log and retry the failed rows.","Vaata logi menüüs Turundus > Smaily Connect > Logi ja proovi ebaõnnestunud read uuesti."
"RSS","RSS"
"Save","Salvesta"
"Save Connection","Salvesta ühendus"
"Save Intelligence Automations","Salvesta Intelligence'i automaatikad"
"Save Preference","Salvesta eelistus"
"Save Subscribers","Salvesta tellijad"
"Saved here, but overridden at a more specific scope — that override is what actually takes effect.","Siin salvestatud, kuid alistatud täpsemal tasemel — tegelikult jõustub see alistus."
"Saved.","Salvestatud."
"Saving failed.","Salvestamine ebaõnnestus."
"Saving failed: %1","Salvestamine ebaõnnestus: %1"
"Saving…","Salvestan…"
"Script live on storefront","Skript on poes aktiivne"
"Send your existing data to the engine in the background — one chunk per cron minute. Imports are resumable and safe to re-run: deliveries are deduplicated on the receiving side.","Saada oma olemasolevad andmed mootorisse taustal — üks tükk iga croni minuti kohta. Importe saab jätkata ja neid on ohutu uuesti käivitada: saadetised dedubleeritakse vastuvõtja poolel."
"Sending","Saatmisel"
"Sends anonymized browsing events (product views, searches, cart activity) to the engine. Respects Magento cookie restriction mode. Off by default.","Saadab mootorisse anonümiseeritud sirvimissündmused (tootevaatamised, otsingud, ostukorvitegevus). Arvestab Magento küpsiste piirangurežiimiga. Vaikimisi väljas."
"Sensitive values (passwords, API keys) are never shown here, and email addresses are masked.","Tundlikke väärtusi (paroolid, API võtmed) siin kunagi ei näidata ja e-posti aadressid on maskitud."
"Sent","Saadetud"
"Settings","Seaded"
"Setup incomplete","Seadistus on pooleli"
"Setup is not finished yet — complete the setup wizard to start syncing.","Seadistamine pole veel lõpetatud — sünkroonimise alustamiseks läbi seadistusviisard."
"Setup token is empty or unrecognized","Seadistusvõti on tühi või tundmatu"
"Setup Token or URL","Seadistusvõti või -URL"
"Setup URL or token from Smaily","Smailylt saadud seadistus-URL või -võti"
"Setup Wizard","Seadistusviisard"
"Show a newsletter checkbox at checkout","Näita kassas uudiskirja märkeruutu"
"Show failed (24h)","Näita ebaõnnestunuid (24 h)"
"Show Newsletter Checkbox At Checkout","Näita kassas uudiskirja märkeruutu"
"Single language","Üks keel"
"Smaily","Smaily"
"Smaily account for %1","Smaily konto keelele %1"
"Smaily API credentials are not configured (store scope: %1)","Smaily API kasutajaandmed on seadistamata (poe skoop: %1)"
"Smaily API credentials were rejected","Smaily lükkas API kasutajaandmed tagasi"
"Smaily API request failed with HTTP %1","Smaily API päring ebaõnnestus (HTTP %1)"
"Smaily API request failed: %1","Smaily API päring ebaõnnestus: %1"
"Smaily API returned a malformed response body","Smaily API tagastas vigase vastuse"
"Smaily API returned code %1: %2","Smaily API tagastas koodi %1: %2"
"Smaily Campaign Intelligence is unreachable","Smaily Campaign Intelligence pole kättesaadav"
"Smaily Connect","Smaily Connect"
"Smaily Connect is now syncing in near-real-time. Here is where everything lives from now on:","Smaily Connect sünkroonib nüüd peaaegu reaalajas. Edaspidi leiad kõik siit:"
"Smaily Connect is ready to set up","Smaily Connect on seadistamiseks valmis"
"Smaily Connect is running, but %1 delivery(ies) failed in the last 24 hours.","Smaily Connect töötab, kuid viimase 24 tunni jooksul ebaõnnestus %1 saadetis(t)."
"Smaily Connect is running, but Campaign Intelligence is currently unreachable — data is queued locally and will sync when it recovers.","Smaily Connect töötab, kuid Campaign Intelligence on hetkel kättesaamatu — andmed on kohalikus järjekorras ja sünkroonitakse, kui ühendus taastub."
"Smaily Connect was upgraded to version %1","Smaily Connect uuendati versioonile %1"
"Smaily Connect — Dashboard","Smaily Connect — töölaud"
"Smaily Connect — Log","Smaily Connect — logi"
"Smaily Connect — Settings","Smaily Connect — seaded"
"Smaily Connect — Setup Wizard","Smaily Connect — seadistusviisard"
"Smaily Connect: %1 events failed in the last 24 hours","Smaily Connect: viimase 24 tunni jooksul ebaõnnestus %1 sündmust"
"Smaily connection verified — the API credentials work.","Smaily ühendus kinnitatud — API kasutajaandmed töötavad."
"Smaily rejected these credentials. Check the subdomain, username and password.","Smaily lükkas need kasutajaandmed tagasi. Kontrolli alamdomeeni, kasutajanime ja parooli."
"Smaily Workflow","Smaily töövoog"
"Sort by","Sordi"
"Sort order","Sortimise suund"
"Source","Allikas"
"Status","Olek"
"Stopped before an error — %1 of %2 synced so far. Press the import button to run it again.","Peatus enne viga — seni sünkroonitud %1 / %2. Uuesti käivitamiseks vajuta impordinuppu."
"Store views with the %1 language sync their contacts and automations to this account.","Poevaated keelega %1 sünkroonivad oma kontaktid ja automaatikad sellele kontole."
"Storefront Browse Tracking","Poe sirvimise jälgimine"
"Stores > Configuration","Poed > Seadistus"
"Stores > Configuration > Smaily > Smaily Connect","Poed > Seadistus > Smaily > Smaily Connect"
"Subdomain","Alamdomeen"
"Subdomain and username are required.","Alamdomeen ja kasutajanimi on kohustuslikud."
"Subscribe to our newsletter","Liitu meie uudiskirjaga"
